tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
Bán nhà 4 tầng hẻm /1 Lê Văn Lương Tân Quy - DT sàn 260m2 5PN nhà đẹp - vị trí TT 8.5 tỷ,"8,5 tỷ","Đường Lê Văn Lương, Phường Tân Quy, Quận 7, Hồ Chí Minh",65 m²,5 phòng,6 phòng,4 tầng,Sổ đỏ/ Sổ hồng,20/03/2026
"Ngay Đầm Sen quận 11 DT 56 mét xây 4 lầu hẻm to giá chỉ 8,95 tỷ","8,95 tỷ","Đường Hòa Bình, Phường 3, Quận 11, Hồ Chí Minh",56 m²,5 phòng,6 phòng,4 tầng,Sổ đỏ/ Sổ hồng,16/03/2026
"CHỦ BÁN GẤP NHÀ 4 TỶ 600 ĐƯỜNG HOA LAN, PHƯỜNG 2, QUẬN PHÚ NHUẬN. DT 62,8M2, SHR, HỢP ĐỒNG THUÊ CAO",Thỏa thuận,"Đường Hoa Lan, Phường 2, Quận Phú Nhuận, Hồ Chí Minh","62,8 m²",3 phòng,3 phòng,4 tầng,Sổ hồng.,30/03/2026
"Lê Văn Quới - 4 tầng - DT 7x22m, đường 8m, BHH A, Bình Tân",15 tỷ,"Đường Lê Văn Quới, Phường Bình Hưng Hòa, Quận Bình Tân, Hồ Chí Minh",154 m²,5 phòng,6 phòng,4 tầng,Sổ đỏ/ Sổ hồng,23/03/2026
"Sở hữu ngay nhà 78m2, hẻm xe hơi thông suốt Đ. Hoàng Diệu P2 Quận 4. Cách THCS Vân Đồn",Thỏa thuận,"Đường Hoàng Diệu, Phường 2, Quận 4, Hồ Chí Minh",78 m²,3 phòng,4 phòng,3 tầng,Sổ đỏ/ Sổ hồng,26/03/2026
"Nhà trọ 2 tầng đường ĐÔNG HƯNG THUẬN 06, phường ĐÔNG HƯNG THUẬN,Q12,dt 190m2 (10mx19m)",10 tỷ,"Đường Đông Hưng Thuận, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",190 m²,4 phòng,4 phòng,2 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
"HÀNG NGON ĐOÀN VĂN BƠ Q4, 77,5M2 , ĐANG CHO THUÊ 22 TRIỆU/THÁNG, GIÁ 2 TỶ 890 TL HXH . SHR","2,95 tỷ","Đường Đoàn Văn Bơ, Phường 13, Quận 4, Hồ Chí Minh","77,5 m²",4 phòng,4 phòng,3 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
"Bán nhà đường Lê Thánh Tôn - Quận 1 74,2m2. Đang cho thuê 33triệu. Gần Vincom Đồng Khởi",Thỏa thuận,"Đường Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Hồ Chí Minh","74,2 m²",4 phòng,6 phòng,4 tầng,Sổ đỏ/ Sổ hồng,22/03/2026
"Bán NR tại 103 Tân Khai, 10,8 tỷ, 38m2, 3PN, 3WC, 5 tầng","10,8 tỷ","103, Đường Tân Khai, Phường 4, Quận 11, Hồ Chí Minh",38 m²,3 phòng,3 phòng,5 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
"Bán gấp nhà Vườn Lài, Q. Tân Phú có sân rộng (có thương lượng)","4,6 tỷ","Đường Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú, Hồ Chí Minh","33,9 m²",2 phòng,2 phòng,1 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
"Bán nhà HXH TRƯỜNG CHINH ngay Ba Vân Tân Bình, 56m2 *3 tầng đẹp lung linh ở ngay","8,76 tỷ","Đường Trường Chinh, Phường 14, Quận Tân Bình, Hồ Chí Minh",56 m²,3 phòng,4 phòng,3 tầng,Sổ đỏ/ Sổ hồng,29/03/2026
Bán nhà đẹp Thống Nhất 139m2 ngang 5.5m 1 trệt 3 lầu 11 tỷ P16 Gò Vấp (P. An Hội Đông mới),11 tỷ,"Đường Thống Nhất, Phường 16, Quận Gò Vấp, Hồ Chí Minh",139 m²,4 phòng,5 phòng,4 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
"BÁN NHÀ 3 TẦNG , 4PN , HẺM NHỰA 6M Ô TÔ ĐỖ CỬA , HÀNG XÓM QUẬN 1.","8,9 tỷ","Đường Cách Mạng Tháng Tám, Phường 9, Quận 3, Hồ Chí Minh",60 m²,4 phòng,4 phòng,3 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
Xuất cảnh bán gấp - Bán nhà Thủ Khoa Huân 75m² 3 tầng - 23 tỷ,23 tỷ,"Đường Thủ Khoa Huân, Phường Bến Thành, Quận 1, Hồ Chí Minh",75 m²,N/A,N/A,3 tầng,N/A,25/03/2026
Bán nhà sổ hồng riêng - hẻm trước nhà 6m - cách đường Trần Xuân Soạn 100m - Quận 7,"3,95 tỷ","Phố Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh",33 m²,2 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,26/03/2026
"Bán gấp trước Tết nhà Tôn Thất Tùng-Quận 1 cho thuê 27tr gần THPT Bùi Thị Xuân giá 5tỷ37 DT 73,8m2",Thỏa thuận,"Đường Tôn Thất Tùng, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh","73,8 m²",4 phòng,4 phòng,3 tầng,Sổ đỏ/ Sổ hồng,21/03/2026
"Hẻm 10m đường Nguyễn Hữu Tiến, phường Tây Thạnh diện tích 4x18m 3 tấm","8,5 tỷ","Đường Nguyễn Hữu Tiến, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh",71 m²,4 phòng,5 phòng,3 tầng,Sổ đỏ/ Sổ hồng,31/03/2026
Bán nhà cấp 4 gác lửng-Giáp cầu an Lộc-Apđ-hẻm thông xe hơi,"4,7 tỷ","Đường Nguyễn Thị Nhuần, Phường An Phú Đông, Quận 12, Hồ Chí Minh",53 m²,2 phòng,1 phòng,1 tầng,Sổ đỏ/ Sổ hồng,28/03/2026
Trung tâm Bình Thạnh - xe hơi tới nhà - ngay Ung Văn Khiêm - 134m2 (5.7x23) - chỉ ~ 110tr/m2 cực rẻ,"15,5 tỷ","Đường Xô Viết Nghệ Tĩnh, Phường 26, Quận Bình Thạnh, Hồ Chí Minh",134 m²,4 phòng,4 phòng,3 tầng,Sổ đỏ/ Sổ hồng,25/03/2026
"Hot! Lên siêu phẩm Quốc Hương, 52m2, P. Thảo Điền, Q2, HCM",Thỏa thuận,"Đường Quốc Hương, Phường Thảo Điền, Quận 2, Hồ Chí Minh",52 m²,N/A,N/A,N/A,SHR,16/03/2026
"Nhà 5 tầng Mã Lò, 5PN 6WC chỉ 7tỷ, hẻm nhựa lớn tiện kinh doanh buôn bán, gần chợ, trường, BV",7 tỷ,"Đường Mã Lò, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",50 m²,5 phòng,6 phòng,5 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
Nhà hẻm xe hơi Nguyễn Duy phường 10 quận 8,"5,98 tỷ","Đường Nguyễn Duy, Phường 10, Quận 8, Hồ Chí Minh","39,9 m²",N/A,N/A,4 tầng,Sổ hồng,30/03/2026
"Aeon Mall Q8 - Cao Lỗ - nhà 4 tầng nở hậu - nhỉnh 6 tỷ - diện tích: 60m2, 4 tầng, bê tông kiên","6,8 tỷ","Đường Phạm Thế Hiển, Phường 4, Quận 8, Hồ Chí Minh",60 m²,N/A,N/A,4 tầng,N/A,25/03/2026
Bán nhà mặt tiền hẻm 4m - 3PN - Nguyễn Văn Quỳ - Q7,"1,49 tỷ","88, Đường Nguyễn Văn Quỳ, Phường Phú Thuận, Quận 7, Hồ Chí Minh","21,2 m²",3 phòng,1 phòng,2 tầng,Hợp đồng mua bán,24/03/2026
"Bán Nhà HXH 6m Phan Đăng Lưu, Phú Nhuận - DT ( 3 X 14 )- 4 Tầng - HĐT 16tr/th - Giá Bán 7,9 tỷ","7,9 tỷ","Phố Phan Đăng Lưu, Phường 1, Quận Phú Nhuận, Hồ Chí Minh",40 m²,N/A,N/A,4 tầng,N/A,21/03/2026
"Chỉ 5TỶ. NHÀ GÓC 2 MẶT HẺM KD Q11. - NGAY LẠC LONG QUÂN, KHÔNG LG, QH
- NHÀ (3.5 x 11) 2 TẦNG.","5,12 tỷ","Đường Lạc Long Quân, Phường 1, Quận 11, Hồ Chí Minh",36 m²,2 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,28/03/2026
"Nhà mặt tiền đường số - ngang hiếm 6m - P4 Q8, DT: 6x15m, nở hậu","9,8 tỷ","Đường Số 9, Phường 4, Quận 8, Hồ Chí Minh",87 m²,2 phòng,2 phòng,1 tầng,Sổ đỏ/ Sổ hồng,27/03/2026
"Nhà hẻm xe hơi Trần Ngọc Diện Q2. Giá: 6,2 tỷ. DT: 58m2. 5 Tầng, 3PN 3WC. Sổ Hồng Riêng. Hẻm Xe Hơi","6,2 tỷ","Trần Ngọc Diện p An Khánh , Đường Trần Ngọc Diện, Phường An Khánh, Quận 2, Hồ Chí Minh",58 m²,3 phòng,4 phòng,5 tầng,Sổ đỏ/ Sổ hồng,28/03/2026
HẺM XE HƠI HOÀNG SA P.NHIÊU LỘC Q3 4x18 (75m2) NỞ HẬU 4.32m TIỆN XÂY GIÁ CHỈ 10.8 TỶ TL,"10,8 tỷ","Đường Hoàng Sa, Phường 11, Quận 3, Hồ Chí Minh",75 m²,N/A,N/A,6 tầng,Sổ đỏ/ Sổ hồng,18/03/2026
"Nhà 2 tầng - hẻm xe hơi đỗ cửa - Trần Khắc Chân, Phú Nhuận - chỉ 6.25 tỷ TL","6,25 tỷ","Đường Trần Khắc Chân, Phường 9, Quận Phú Nhuận, Hồ Chí Minh","25,8 m²",3 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,16/03/2026
Gò Dầu - HẺM 5M - 3 TẦNG -SỔ VUÔNG VỨC - HOÀN CÔNG ĐẦY ĐỦ,"7,6 tỷ","Đường Gò Dầu, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh",49 m²,3 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng,28/03/2026
BÁN NHÀ QUẬN 7 - GIÁ TỐT TRONG KHU VỰC - 63m2 - 2 TẦNG,"6,3 tỷ","Đường Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",63 m²,3 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,28/03/2026
Nhà Quận 3 - khu Cư Xá Đô Thành - hẻm xe ô tô - đất thổ cư vuông vức - 4 tầng - 3 phòng ngủ,6 tỷ,"Đường Số 7 Cư xá Đô Thành, Phường 4, Quận 3, Hồ Chí Minh",26 m²,3 phòng,4 phòng,4 tầng,Sổ đỏ/ Sổ hồng,21/03/2026
"Quận 4, cách MT 80m, hẻm 3m, 1 trệt 1 lầu, 3,4x13m(sổ CN 38,5 m²), không quy hoạch, chỉ 3 tỷ 600tr","3,6 tỷ","Đường Vĩnh Hội, Phường 4, Quận 4, Hồ Chí Minh","38,5 m²",2 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,16/03/2026
"Giảm mạnh 2 tỷ, bán nhà DTCN 352m2, 20x25m, 2 tầng, 8 phòng KDC hiện hữu Bình Đông, nhỉnh 18tỷ","18,3 tỷ","Đường Bình Đông, Phường 14, Quận 8, Hồ Chí Minh",352 m²,8 phòng,N/A,2 tầng,Có sổ,27/03/2026
"Nguyễn Văn Cừ - Quận 5, nhà 5 tầng, 6PN, HXH 2 mặt thông thoáng gần ĐH Sài Gòn-Tiện cho thuê hoặc ở","7,45 tỷ","Đường Nguyễn Văn Cừ, Phường 2, Quận 5, Hồ Chí Minh",27 m²,6 phòng,4 phòng,5 tầng,Sổ đỏ/ Sổ hồng,18/03/2026
"LÔ GÓC 3 MẶT THOÁNG KHU VIP BÌNH THỚI, QUẬN 11 SỔ ĐẸP CHỈ 7.x TỈ","7,5 tỷ","Đường Bình Thới, Phường 3, Quận 11, Hồ Chí Minh",46 m²,3 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,27/03/2026
"Đi định cư bán nhà Phạm Văn Chí, 6 x 11, 3 tầng BTCT 5PN 5WC có garage trong nhà","7,3 tỷ","Đường Phạm Văn Chí, Phường 7, Quận 6, Hồ Chí Minh",66 m²,5 phòng,4 phòng,3 tầng,Sổ đỏ/ Sổ hồng,16/03/2026
Nhà Quận 5 - hẻm ba gác thẳng 1 trục - sát mặt tiền đường - đất thổ cư vuông vức - 3 tầng - hơn 4,Thỏa thuận,"Đường Trần Phú, Phường 4, Quận 5, Hồ Chí Minh",24 m²,2 phòng,2 phòng,3 tầng,Sổ đỏ/ Sổ hồng,23/03/2026
"Hot, Bán gấp Nhà riêng Tỉnh Lộ 10 BTân, 82m2, 2 tầng mới ken, ngang khủng 11m, chỉ nhỉnh 6 tỷ.","6,7 tỷ","Đường Tỉnh Lộ 10, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",82 m²,4 phòng,3 phòng,2 tầng,Sổ đỏ/ Sổ hồng,29/03/2026
"Hẻm 4m thông nhà đẹp, ngay AEON, chỉ 7.5 tỷ, Tạ Quang Bửu P4, Q8","7,5 tỷ","Phố Tạ Quang Bửu, Phường 4, Quận 8, Hồ Chí Minh",60 m²,2 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,25/03/2026
"Bán nhà riêng 4 tầng lầu, full nội thất sang trọng, ô tô đỗ cổng. Ngang 6m bề thế sổ nở hậu nhỉnh 7","7,2 tỷ","Đường Thích Quảng Đức, Phường 5, Quận Phú Nhuận, Hồ Chí Minh",38 m²,3 phòng,4 phòng,4 tầng,Sổ đỏ/ Sổ hồng,29/03/2026
"DT: 4x16, có 2 lầu mới vào ở liền, đường Tỉnh Lộ 10, giáp Bình Trị Đông","5,38 tỷ","Đường Tỉnh Lộ 10, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",63 m²,2 phòng,2 phòng,3 tầng,Sổ đỏ/ Sổ hồng,29/03/2026
HXH - Gò Dầu - cách MTKD 2 căn - 4x21m - 3 tầng - BTCT - an ninh - chỉ 12 tỷ,12 tỷ,"Đường Gò Dầu, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh",80 m²,3 phòng,4 phòng,3 tầng,Sổ đỏ/ Sổ hồng.,23/03/2026
"Bán nhà Tô Hiến Thành Quận 10 70,3m2/3ty3 sổ hồng riêng chính chủ sang tên công chứng trong ngày",Thỏa thuận,"Đường Tô Hiến Thành, Phường 13, Quận 10, Hồ Chí Minh","70,3 m²",4 phòng,5 phòng,2 tầng,Sổ đỏ/ Sổ hồng,27/03/2026
"Bán nhà Lạc Long Quân, P.3, Quận 11, nhà sửa mới sạch đẹp ở liền, nở hậu nhẹ, gần giáo xứ Bình Thới","3,95 tỷ","Đường Lạc Long Quân, Phường 3, Quận 11, Hồ Chí Minh",30 m²,2 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,18/03/2026
"SOCK NHÀ SIÊU ĐẸP TRUNG TÂM Q12, 60M2 HẺM XE HƠI CHỦ GẤP BÁN CHỈ 3.X TỶ","3,8 tỷ","Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",56 m²,3 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,23/03/2026
"QUẬN3 ĐƯỜNG CÁCH MẠNG THÁNG 8 - CHDV CAO CẤP 50M2- 5TẦNG BTCT, DÒNG TIỀN 30tr/tháng-GIÁ CHỈ 8,9 tỷ.","8,9 tỷ","Đường Cách Mạng Tháng Tám, Phường 11, Quận 3, Hồ Chí Minh",50 m²,7 phòng,7 phòng,5 tầng,Sổ đỏ/ Sổ hồng,29/03/2026
Tốt nhất khu vực! Bán nhà đất xây hầm 6 tầng - ngay Trần Não - 12x24m - HĐT 70tr/th - chỉ 125tr/m2,"33,5 tỷ","Phường An Khánh, Quận 2, Hồ Chí Minh",260 m²,N/A,N/A,6 tầng,Sổ hồng.,24/03/2026
"Bán nhà diện tích lớn với 4PN, 5WC, 45m2 tại Âu Dương Lân, Q8, HCM - 6,82 tỷ","6,82 tỷ","Đường Âu Dương Lân, Phường 2, Quận 8, Hồ Chí Minh",45 m²,4 phòng,5 phòng,4 tầng,Sổ đỏ/ Sổ hồng,24/03/2026
Nhà Tôn Đản 3 tầng 53.2m2 KDC hiện hữu hoàn công gần phố ẩm thực Vĩnh Khánh chỉ 6 tỷ hơn,"6,75 tỷ","Đường Tôn Đản, Phường 12, Quận 4, Hồ Chí Minh","53,2 m²",4 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng,24/03/2026
HXH - dòng tiền 40tr/th - 4PN - Chỉ hơn 6 tỷ,"6,9 tỷ","Đường 102, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh",58 m²,4 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng,21/03/2026
"NHÀ 3 TẦNG ĐÚC BÊ TÔNG , HẺM 6M XE HƠI ĐẬU TRƯỚC CỬA , GIÁ GIẢM 300TR ( 6,5 Tỷ","6,5 tỷ","Đường Lạc Long Quân, Phường 10, Quận 11, Hồ Chí Minh",30 m²,4 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng,29/03/2026
"Quá hiếm! Ngang to 7,5m ngay cv Lê Văn Tám hẻm 6m Võ Thị Sáu, Q1(7,5 x 15m)CN 112m2-Giá 23 tỷ",23 tỷ,"Đường Võ Thị Sáu, Phường Tân Định, Quận 1, Hồ Chí Minh",112 m²,4 phòng,4 phòng,3 tầng,Sổ đỏ/ Sổ hồng,26/03/2026
"Bán gấp NR 4PN 3WC full nội thất, 88m2, 6,2 tỷ ở Hương Lộ 2, P Bình Trị Đông A, Q. Bình Tân","6,2 tỷ","Đường Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh",88 m²,4 phòng,3 phòng,4 tầng,Sổ đỏ/ Sổ hồng,27/03/2026
"Bán nhà chợ Nhị Thiên Đường - Bùi Minh Trực, P5, Q8 3x25m sổ riêng 3 phòng 2WC gần mặt tiền","5,28 tỷ","Đường Bùi Minh Trực, Phường 5, Quận 8, Hồ Chí Minh",75 m²,3 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
"Bán căn nhà SHR 56m2 có 3 lầu đường Lâm Thị Hố-gần Trần Thị Năm Trung Mỹ Tây, Hồ Chí Minh 5,58 tỷ","5,58 tỷ","Đường Lâm Thị Hố, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",56 m²,3 phòng,4 phòng,3 tầng,Sổ đỏ/ Sổ hồng.,18/03/2026
"Siêu phẩm villa Bali mini tại Bình Tân - cạnh Aeon Tên Lửa - ngang lớn 5m - full NT -  5,4 tỷ","5,4 tỷ","Đường Tỉnh Lộ 10, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh",50 m²,4 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng,29/03/2026
"VIP Nguyễn Thị Minh Khai, Quận 1, Nhà 4 tầng, ngang 7 m, giá tốt",45 tỷ,"Đường Nguyễn Thị Minh Khai, Phường Tân Định, Quận 1, Hồ Chí Minh","104,5 m²",11 phòng,13 phòng,4 tầng,Sổ đỏ/ Sổ hồng,21/03/2026
"Chính chủ gấp bán nhà HXH Trường Sa, P12, Q3 CN = 39.1m2, 3 tầng. Chỉ 8,8 tỷ TL LH0913 620 ***","8,8 tỷ","Đường Trường Sa, Phường 12, Quận 3, Hồ Chí Minh","39,1 m²",4 phòng,4 phòng,3 tầng,Sổ đỏ/ Sổ hồng,23/03/2026
"Nhà mới full nội thất Lê Lai, Bảy Hiền chỉ 8.3 tỷ","8,3 tỷ","Đường Lê Lai, Phường 12, Quận Tân Bình, Hồ Chí Minh","39,6 m²",3 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
Quận 7 - Biệt thự sân vườn - 322m2 - ngang 12m x 30m - 4PN - sân đậu 10 oto - chỉ 16 tỉ 250,"16,25 tỷ","Đường Nguyễn Thị Thập, Phường Phú Thuận, Quận 7, Hồ Chí Minh",322 m²,4 phòng,4 phòng,3 tầng,Sổ đỏ/ Sổ hồng,20/03/2026
Cực rẻ 23.8 tỷ! Bán nhà hẻm vip Võ Thị Sáu ngang lớn 7.4x14.5m CN: 104.5m2 tiện xây mới,"23,8 tỷ","Đường Võ Thị Sáu, Phường Tân Định, Quận 1, Hồ Chí Minh","104,5 m²",N/A,N/A,3 tầng,Sổ đỏ/ Sổ hồng,27/03/2026
"Nhà bán, hẻm 4m đường Trần Bình Trọng. Q5, DTCN 28 m2, 2 tầng, gía 5,3 tỷ","5,3 tỷ","Đường Trần Bình Trọng, Phường 1, Quận 5, Hồ Chí Minh",28 m²,1 phòng,1 phòng,2 tầng,Sổ đỏ/ Sổ hồng.,16/03/2026
"Ngang to 6,6m! Biệt thự 3 tầng phố ẩm thực Phan Xích Long (6.6x21m) 145.2m2 - 12PN giá 23.4 tỷ TL","23,4 tỷ","Đường Phan Xích Long, Phường 3, Quận Phú Nhuận, Hồ Chí Minh","145,2 m²",12 phòng,9 phòng,3 tầng,Sổ đỏ,28/03/2026
Hẻm xe hơi ngay Cộng Hòa - Nhất Chi Mai - P13 TB - diện tích 4.5x17m - 3 tầng giá chỉ 13 tỷ,13 tỷ,"Đường Cộng Hòa, Phường 13, Quận Tân Bình, Hồ Chí Minh","76,5 m²",5 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
"Nhà đẹp giá ngộp bán ngay đường Lê Lai, Gò Vấp/ DT 52,6m2 có thương lượng",Thỏa thuận,"Đường Lê Lai, Phường 3, Quận Gò Vấp, Hồ Chí Minh","52,6 m²",3 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
Nhà 5 tầng Đoàn Văn Bơ Q4 - 8PN 7WC - DT 77m2 (3.5mx22m) - Vừa ở vừa kinh doanh - Giá chỉ 8 tỷ,8 tỷ,"Đường Đoàn Văn Bơ, Phường 16, Quận 4, Hồ Chí Minh",77 m²,8 phòng,7 phòng,4 tầng,Sổ đỏ/ Sổ hồng,25/03/2026
"Bán gấp Nhà riêng tại Hòa Bình, 6,5 tỷ, 48m2, 3PN, 2WC, chính chủ","6,5 tỷ","Đường Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, Hồ Chí Minh",48 m²,3 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,29/03/2026
Q. 11 - Thái Phiên - Hàn Hải Nguyên - 3/2 - 36m2 - 3 tầng - hẻm xe hơi thông,"6,4 tỷ","Đường Thái Phiên, Phường 2, Quận 11, Hồ Chí Minh",36 m²,2 phòng,2 phòng,3 tầng,Sổ đỏ/ Sổ hồng,25/03/2026
"Rẻ nhất khu vực - Nhà 4 tầng - 4N - 4WC Phan Huy Ích giáp Emart chỉ 8,5 tỷ","8,5 tỷ","Đường Phan Huy Ích, Phường 14, Quận Gò Vấp, Hồ Chí Minh",64 m²,4 phòng,4 phòng,3 tầng,N/A,30/03/2026
Xuất cảnh bán gấp - Bán nhà Thích Quảng Đức 29m² 3 tầng - 7.2 tỷ,"7,2 tỷ","Đường Thích Quảng Đức, Phường 5, Quận Phú Nhuận, Hồ Chí Minh",29 m²,N/A,N/A,3 tầng,N/A,29/03/2026
"Bán nhà C4, Huỳnh Văn Nghệ, Tân Bình, 88m2 chỉ hơn 6 tỷ, hẻm xe hơi thông, gần chợ, ngang 6m","6,68 tỷ","Đường Huỳnh Văn Nghệ, Phường 15, Quận Tân Bình, Hồ Chí Minh",88 m²,2 phòng,1 phòng,1 tầng,Sổ đỏ/ Sổ hồng,31/03/2026
"Nhà xinh 2 tầng, 2PN, 2WC, Chỉ 5T, Đường Lê Văn Việt, Trung tâm Hiệp Phú, Xe hơi tận nhà",5 tỷ,"Đường Lê Văn Việt, Phường Hiệp Phú, Quận 9, Hồ Chí Minh",40 m²,2 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,29/03/2026
Nhà đẹp giá rẻ 45 m2 Mai Xuân Thưởng 4 tầng BTCT xách Vali vào ở ngay chỉ 6.8 Tỷ,"6,8 tỷ","Đường Mai Xuân Thưởng, Phường 2, Quận 6, Hồ Chí Minh","45,1 m²",3 phòng,4 phòng,4 tầng,Sổ đỏ/ Sổ hồng,21/03/2026
Bán nhà hẻm 8m Hoàng Hoa Thám - Ga T3 - 6.5mx20m - Giá 20 tỷ TL,20 tỷ,"Đường Hoàng Hoa Thám, Phường 13, Quận Tân Bình, Hồ Chí Minh",130 m²,N/A,N/A,6 tầng,N/A,17/03/2026
"Định cư bán gấp nhà HXH 5m đường Tô Ngọc Vân, Quận 12, giáp Gò Vấp, 70m2, SHR giá TL",Thỏa thuận,"Đường Tô Ngọc Vân, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",70 m²,3 phòng,4 phòng,3 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
2 MT Hẻm Hậu Giang 45m2 3Tầng BTCT Nhà Mới Đẹp Thơm Mùi Sơn Mới Vào Ở Ngay Chỉ 5đ68 còn TL.,"5,68 tỷ","319, Đường Hậu Giang, Phường 5, Quận 6, Hồ Chí Minh",45 m²,3 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng,21/03/2026
"""Hiếm"" 5 tầng 50m2, 6PN, hẻm xe hơi gần Phạm Văn Đồng","5,1 tỷ","Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Hồ Chí Minh",50 m²,5 phòng,5 phòng,4 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
"Bán nhà Quận 6 nhà đẹp 5 tầng full nội thất chỉ 6,8 tỷ","6,8 tỷ","Đường Hậu Giang, Phường 5, Quận 6, Hồ Chí Minh","48,5 m²",3 phòng,4 phòng,5 tầng,Sổ đỏ/ Sổ hồng,18/03/2026
NHÀ BÌNH TIÊN - QUẬN 6 - 2 TẦNG - HẺM GẦN 4M THÔNG - CHỦ NHIỆT BÁN- GIÁ 5 TỶ4 TL,"5,4 tỷ","Đường Bình Tiên, Phường 7, Quận 6, Hồ Chí Minh",41 m²,N/A,N/A,2 tầng,Sổ đỏ/ Sổ hồng,16/03/2026
"Bán nhà hẻm rộng 10m, Đường Thoại Ngọc Hầu, Quận Tân Phú, DT 112m2, giá hơn 9 tỷ thương lượng","9,8 tỷ","Đường Thoại Ngọc Hầu, Phường Phú Thạnh, Quận Tân Phú, Hồ Chí Minh",112 m²,3 phòng,2 phòng,1 tầng,Sổ đỏ/ Sổ hồng,28/03/2026
Hàng kín Q.10 - Tô Hiến Thành 65m2 - chủ cần ra gấp,"8,2 tỷ","Đường Tô Hiến Thành, Phường 14, Quận 10, Hồ Chí Minh",65 m²,3 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
"Chính chủ bán gấp căn HXH 5m Nguyễn Thái Bình, Tân Bình giá 4tỷ3/ 54,8m2. Đang cho thuê 18 tr/tháng","4,3 tỷ","Đường Nguyễn Thái Bình, Phường 2, Quận Tân Bình, Hồ Chí Minh","54,8 m²",3 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng.,29/03/2026
"BÁN NHÀ 2 TẦNG MỚI ĐẸP, 56M2 (4X14M), HẬU GIANG, GIÁ 5.6 TỶ TL CHÍNH CHỦ","5,7 tỷ","Đường Hậu Giang, Phường 12, Quận 6, Hồ Chí Minh",56 m²,N/A,N/A,2 tầng,Sổ đỏ/ Sổ hồng,26/03/2026
